TANDEM DATA:  run;hv;pmt;detector;energy;pedestal;
              upstream-signal;upstream-rms;downstream-signal;downstream-rms

BENCHMARK DATA:   run;hv;pmt;detector;energy;pedestal;signal;sig-rms

OTHER DATA:   run;hv;pmt;detector;energy;pedestal;signal;sig-rms

320,1000,5,1a2s,5,1300,579,184
321,1000,5,1a2s,5,1300,613,185
322,1000,5,1a2s,5,1300,632,207
323,1100,5,1b3s,5,1300,839,169
324,1000,5,1b3s,5,1300,406,85
325,1050,5,1b3s,5,1300,585,123
326,1050,5,1b3s,5,1300,573,122
327,1050,5,1b3s,5,1300,605,127
328,1000,5,1a3s,5,1300,739,141
329,1000,5,1a3s,5,1300,733,176
330,1000,5,1a3s,5,1300,720,150
331,950,5,1a3s,5,1300,501,97
332,950,5,1a3s,5,1300,489,93
333,950,5,1a3s,5,1300,502,107
334,1000,5,1b4s,5,1300,568,84
335,1000,5,1b4s,5,1300,549,85
336,1000,5,1b4s,5,1300,600,82
337,1000,5,1b4s,5,1300,577,96
338,950,5,1a4s,5,1300,477,88
339,950,5,1a4s,5,1300,465,90
340,950,5,1a4s,5,1300,488,88

341,800,5,1a4s,8,1300,-1,-3
342,800,5,1a4s,8,1300,167,86
343,900,5,1a4s,8,1300,356,149
344,900,5,1a4s,8,1300,436,70
345,900,5,1a4s,8,1300,443,72
346,900,5,1a4s,8,1300,440,77
347,850,5,1a4s,8,1300,283,51
348,800,5,1a4s,8,1300,174,27
349,700,5,1a4s,8,1300,60,10
350,900,5,1b4s,8,1300,352,45
351,950,5,1b4s,8,1300,536,75
352,1200,5,1a,8,1300,218,28
353,1300,5,1a,8,1300,408,57
354,1200,5,1b,8,1300,143,22
355,1200,5,1b,8,1300,170,45
356,1200,5,1b,8,1300,177,39
357,1200,5,1b,8,1300,178,32
358,1200,5,1b,8,1300,-1,-3
359,1200,5,1b,8,1300,-1,-3
360,1200,5,1b,8,1300,-1,-3
361,1200,5,1b,8,1300,-1,-3
362,1200,5,1b,8,1300,143,24
363,1200,5,1b,8,1300,121,61
364,1200,5,1b,8,1300,-1,-3
365,1200,5,1b,8,1300,-1,-3
366,1200,5,1b,8,1300,-1,-3
367,1200,5,1b,8,1300,-1,-3
368,1200,5,1b,8,1300,101,76
369,1200,5,1b,8,1300,112,48
370,1200,5,1b,8,1300,138,22

399,1200,5,1b,8,1300,-1,-3
400,1200,5,1b,8,1300,107,29
401,1200,5,1b,8,1300,128,21
402,1200,5,1b,8,1300,-1,-3
403,1200,5,1b,8,1300,-1,-3
404,1200,5,1b,8,1300,-1,-3
405,1200,5,1b,8,1300,129,19
406,1200,5,1b,8,1300,-1,-3
407,1200,5,1b,8,1300,133,24
408,1200,5,1b,8,1300,138,20
409,1200,5,1b,8,1300,122,22
410,1200,5,1b,8,1300,152,24
411,1200,5,1b,8,1300,141,23
412,1200,5,1b,8,1300,149,24
413,1200,5,1b,8,1300,148,23
414,1200,5,1b,8,1300,165,25
415,1200,5,1b,8,1300,170,24
416,1800,1,tandem,8,1296,-1,-3,-1,-3
417,1800,1,tandem,8,1296,29,5,38,5
418,2000,1,tandem,8,1296,46,9,60,9
419,2000,1,tandem,8,1296,44,8,57,8
420,2000,1,tandem,8,1296,43,8,55,7
421,2000,1,tandem,8,1296,40,7,52,6
422,2000,1,tandem,8,1296,41,8,54,8
423,2000,1,tandem,8,1296,16,2,20,2
424,2000,1,tandem,8,1296,41,8,53,8
425,2000,2,tandem,8,1296,28,5,75,11
