run,pedout,sigout,nPE,sigrmsout,resolution
271,1299.05,372.36,539.64,0.837368
272,1298.87,400.08,579.81,0.705119
273,1298.84,398.72,577.85,0.812184
274,1298.76,496.88,720.11,0.963754
275,1298.90,266.87,386.76,0.610794
285,1298.67,952.48,1845.31,1.365585
286,1298.74,931.26,1804.20,0.317850
287,1298.25,922.36,1786.95,0.978290
288,1298.25,1194.27,1730.80,0.947008
289,1298.17,648.11,1785.73,0.653090
290,1298.16,616.51,1698.65,0.525112
291,1298.14,684.37,1885.64,0.585419
299,1298.15,340.26,937.51,0.661240
300,1298.06,344.37,948.85,0.692537
301,1298.05,357.40,984.73,0.757999
302,1298.15,639.23,926.40,1.286259
317,1297.94,1378.19,3797.30,1.362795
318,1297.85,587.80,3287.23,0.523564
319,1297.90,567.25,3172.32,0.509462
320,1297.86,563.40,3150.75,0.524391
321,1297.88,588.73,3292.40,0.508172
322,1297.91,607.21,3395.78,0.580042
323,1297.85,832.11,2292.69,0.550393
324,1298.19,404.63,2262.84,0.206104
325,1298.32,586.18,3278.18,0.261061
326,1298.20,575.39,3217.83,0.250078
327,1298.30,594.09,3322.41,0.300616
328,1297.37,726.28,4061.66,0.662593
329,1298.68,675.83,3779.52,1.502440
330,1295.23,725.46,4057.05,0.703398
331,1298.01,500.69,inf,0.219522
332,1298.05,486.45,inf,0.215115
333,1298.22,500.32,inf,0.232594
334,1298.51,566.32,3167.11,0.142660
335,1298.40,547.75,3063.24,0.159826
336,1298.82,532.76,2979.43,1.859146
337,1298.68,576.26,3222.70,0.168886
338,1298.52,479.35,inf,0.207130
339,1298.65,470.36,inf,0.229653
340,1298.82,490.34,inf,0.201392
342,1299.50,62.23,inf,7.891096
343,1299.53,304.13,3721.13,1.960130
344,1299.11,442.87,5418.58,0.668083
345,1298.90,444.52,5438.83,0.186982
346,1297.78,432.36,5289.96,0.274650
347,1297.96,280.54,inf,0.171419
348,1297.83,174.54,inf,0.153390
349,1297.59,60.79,6106.31,0.163746
350,1297.58,353.20,4321.48,0.121291
351,1297.44,537.18,inf,0.150394
352,1296.94,218.20,316.23,0.125251
353,1296.94,404.67,309.19,0.135928
354,1297.01,142.39,206.36,0.150547
355,1297.30,160.83,233.08,0.673960
356,1297.21,173.03,250.77,0.308219
357,1297.03,175.40,254.20,0.381044
358,1297.78,-6.56,-9.51,-74.879975
361,1297.71,-19.14,-27.73,-26.284490
362,1297.15,145.92,211.48,0.252215
363,1297.39,122.03,176.85,0.586365
368,1297.08,111.45,161.53,0.979695
369,1297.75,100.24,145.28,0.826180
370,1297.08,138.38,200.54,0.153449
